#Time,V_S_X,V_S_Y,V_S_R,V_S_theta,V_S_DC,T+_X,T+_Y,T+_R,T+_theta,T+_DC,T-_X,T-_Y,T-_R,T-_theta,T-_DC,Out_Amp,Out_Freq
0.0,-1.2476427886165001e-06,1.0866200950796667e-06,1.6544956207308924e-06,138.94614010629058,4.325694520957768e-05,-7.432867726047011e-07,1.199206551967119e-06,1.410876174797058e-06,121.79127510009629,8.629541145637632e-05,1.1932344858606863e-07,-3.918607156717494e-08,1.2559312715009497e-07,-18.180288993652784,3.436435130424798e-05,5.000000000039431,1.9999999969999867
0.5,-1.2476427886165001e-06,1.0866200950796667e-06,1.6544956207308924e-06,138.94614010629058,4.325694520957768e-05,-7.432867726047011e-07,1.199206551967119e-06,1.410876174797058e-06,121.79127510009629,8.629541145637632e-05,1.1932344858606863e-07,-3.918607156717494e-08,1.2559312715009497e-07,-18.180288993652784,3.436435130424798e-05,5.000000000039431,1.9999999969999867
1.0,-1.252874308634123e-06,1.0890019251547004e-06,1.6600057910218494e-06,139.00273764403875,4.340810875874013e-05,-7.359963237732271e-07,1.1827030280685183e-06,1.3930100650067636e-06,121.89401226242641,8.651335432659835e-05,9.286301146455115e-08,-4.8149267044392215e-08,1.0460349332205667e-07,-27.406639830348958,3.49204137455672e-05,5.000000000039431,1.9999999969999867
1.5,-1.252874308634123e-06,1.0890019251547004e-06,1.6600057910218494e-06,139.00273764403875,4.340810875874013e-05,-7.359963237732271e-07,1.1827030280685183e-06,1.3930100650067636e-06,121.89401226242641,8.651335432659835e-05,9.286301146455115e-08,-4.8149267044392215e-08,1.0460349332205667e-07,-27.406639830348958,3.49204137455672e-05,5.000000000039431,1.9999999969999867
2.0,-1.2498000472289398e-06,1.0831921834624296e-06,1.6538758914645216e-06,139.084775301655,4.367582791019231e-05,-7.405634364402332e-07,1.197723647266695e-06,1.4081818556614064e-06,121.72887922419463,8.715464151464403e-05,1.230357069551216e-07,-2.3048625462298598e-08,1.251759734200133e-07,-10.610401385241762,3.5706035559996964e-05,5.000000000039431,1.9999999969999867
2.5,-1.2498000472289398e-06,1.0831921834624296e-06,1.6538758914645216e-06,139.084775301655,4.367582791019231e-05,-7.405634364402332e-07,1.197723647266695e-06,1.4081818556614064e-06,121.72887922419463,8.715464151464403e-05,1.230357069551216e-07,-2.3048625462298598e-08,1.251759734200133e-07,-10.610401385241762,3.5706035559996964e-05,5.000000000039431,1.9999999969999867
3.0,-1.2518227566088972e-06,1.0849709010569454e-06,1.656569367730859e-06,139.08410487515528,4.405798856168985e-05,-7.202330630060863e-07,1.1672949645090395e-06,1.3716097109656552e-06,121.67501490072142,8.839911664836109e-05,1.3771761158151674e-07,-1.619725400460109e-08,1.3866683661570666e-07,-6.70785971484773,3.6550631048157814e-05,5.000000000039431,1.9999999969999867
3.5,-1.2518227566088972e-06,1.0849709010569454e-06,1.656569367730859e-06,139.08410487515528,4.405798856168985e-05,-7.202330630060863e-07,1.1672949645090395e-06,1.3716097109656552e-06,121.67501490072142,8.839911664836109e-05,1.3771761158151674e-07,-1.619725400460109e-08,1.3866683661570666e-07,-6.70785971484773,3.6550631048157814e-05,5.000000000039431,1.9999999969999867
4.0,-1.2516268295645132e-06,1.0848540263299874e-06,1.656344764513143e-06,139.08272108348723,4.4250064529478554e-05,-7.538075714327897e-07,1.192805340724139e-06,1.411031691922414e-06,122.29132800728219,8.913326368201524e-05,1.1578142406016204e-07,-1.098450438605022e-08,1.163013219787558e-07,-5.419587857256988,3.675160056445748e-05,5.000000000039431,1.9999999969999867
4.5,-1.2516268295645132e-06,1.0848540263299874e-06,1.656344764513143e-06,139.08272108348723,4.4250064529478554e-05,-7.538075714327897e-07,1.192805340724139e-06,1.411031691922414e-06,122.29132800728219,8.913326368201524e-05,1.1578142406016204e-07,-1.098450438605022e-08,1.163013219787558e-07,-5.419587857256988,3.675160056445748e-05,5.000000000039431,1.9999999969999867
